sedft,sedfv,Sepkoskit,Sepkoskiv,Rhodet,Rhodev
-0.0,4.373775805897515,-0.0,4924.0,-0.0,5283.0
-1.0,4.109292763320454,-1.0055452865064696,4976.339844423851,-1.0,5283.0
-2.0,3.934730366662818,-2.011090573012939,5025.092174629055,-2.0,5274.0
-3.0,3.835150141835845,-3.0166358595194085,5073.395005998035,-3.0,5273.999999999999
-4.0,3.7956136147507697,-4.022181146025878,5124.38635391322,-4.0,5180.0
-5.0,3.8011823113188266,-5.027726432532348,5181.204233757042,-5.0,5180.000000000001
-6.0,3.836917757451252,-6.033271719038817,5246.636811071987,-6.0,5060.0
-7.0,3.8878814790592813,-7.038817005545287,5320.206684465903,-7.0,5060.0
-8.0,3.9391350020541482,-8.044362292051757,5399.65671731388,-8.0,5065.000000000001
-9.0,3.9757398523470906,-9.049907578558226,5482.71186267211,-9.0,5065.0
-10.0,3.982757555849345,-10.055452865064696,5567.097073596785,-10.0,5065.000000000001
-11.0,3.945249638472142,-11.060998151571166,5650.537303144096,-11.0,5065.0
-12.0,3.857538218646652,-12.066543438077634,5730.757504370235,-12.0,5164.000000000001
-13.0,3.750987784883766,-13.072088724584104,5805.4826303313985,-13.0,5164.0
-14.0,3.666223418214304,-14.077634011090574,5872.4376340837725,-14.0,5164.0
-15.0,3.6438701996690885,-15.083179297597043,5929.347468683552,-15.0,5164.0
-16.0,3.7112296059914955,-16.088724584103513,5973.937087186926,-16.0,4736.0
-17.0,3.842308696775102,-17.09426987060998,6003.9314426500905,-17.0,4736.0
-18.0,3.9977909273260406,-18.099815157116453,6017.0554881292355,-18.0,4736.000000000001
-19.0,4.138359752950442,-19.10536044362292,6011.034176680555,-19.0,4736.000000000001
-20.0,4.224698628954436,-20.110905730129392,5983.592461360237,-20.0,4736.000000000001
-21.0,4.22938499187296,-21.11645101663586,5932.455295224476,-21.0,4332.0
-22.0,4.172572203156166,-22.121996303142332,5855.347631329464,-22.0,4332.0
-23.0,4.086307605483012,-23.1275415896488,5749.997305948434,-23.0,4332.0
-24.0,4.00263854153245,-24.133086876155268,5616.142298168646,-24.0,4041.0
-25.0,3.9536123539834422,-25.13863216266174,5459.044647623041,-25.0,4041.0
-26.0,3.9712763855149413,-26.144177449168208,5284.907006762135,-26.0,4041.0
-27.0,4.075019164314721,-27.14972273567468,5099.9320280364445,-27.0,4041.0
-28.0,4.23359396060581,-28.155268022181147,4910.322363896486,-28.0,4041.0
-29.0,4.403095230120053,-29.16081330868762,4722.280666792782,-29.0,3875.0
-30.0,4.539617428589294,-30.166358595194087,4542.009589175847,-30.0,3875.0
-31.0,4.599255011745379,-31.17190388170056,4375.711783496197,-31.0,3875.0
-32.0,4.553303939676042,-32.177449168207026,4229.589902204353,-32.0,3875.000000000001
-33.0,4.433866189892578,-33.182994454713494,4109.846597750831,-33.0,3875.0000000000005
-34.0,4.288245244262168,-34.18853974121996,4022.644975471212,-34.0,4043.0
-35.0,4.163744584651994,-35.19408502772644,3970.7386455783144,-35.0,4043.0
-36.0,4.107667692929238,-36.199630314232905,3950.894306024963,-36.0,4043.0000000000005
-37.0,4.1492582880295,-37.20517560073937,3959.271827009741,-37.0,4043.0000000000005
-38.0,4.245521037162042,-38.21072088724584,3992.031078731232,-38.0,3705.0000000000005
-39.0,4.335400844604544,-39.21626617375232,4045.3319313880193,-39.0,3705.0000000000005
-40.0,4.357842614634677,-40.221811460258785,4115.334255178685,-40.0,3705.0
-41.0,4.270091084255472,-41.22735674676525,4198.197920301815,-41.0,3628.0
-42.0,4.102590321371351,-42.23290203327172,4290.082796955991,-42.0,3628.0000000000005
-43.0,3.9040842266120865,-43.23844731977819,4387.148755339797,-43.0,3628.0
-44.0,3.723316700607449,-44.243992606284664,4485.555665651818,-44.0,3628.0
-45.0,3.6090316439872128,-45.24953789279113,4581.463398090634,-45.0,3628.0000000000005
-46.0,3.596010605539242,-46.2550831792976,4671.031822854829,-46.0,3628.0
-47.0,3.6631857266837704,-47.26062846580407,4750.420810142988,-47.0,3628.0
-48.0,3.775526796999122,-48.266173752310536,4815.790230153695,-48.0,3628.0000000000005
-49.0,3.898003606063623,-49.27171903881701,4863.299953085531,-49.0,3066.0
-50.0,3.9955859434556,-50.27726432532348,4889.10984913708,-50.0,3066.0000000000005
-51.0,4.033243598753378,-51.28280961182995,4889.379788506927,-51.0,3066.0000000000005
-52.0,3.9759463615352817,-52.288354898336415,4860.269641393654,-52.0,3066.0000000000005
-53.0,3.8040323258727873,-53.29390018484289,4797.939277995844,-53.0,3066.0
-54.0,3.559312803809969,-54.29944547134936,4698.548568512081,-54.0,3066.0
-55.0,3.2989674118840493,-55.304990757855826,4558.25738314095,-55.0,3066.0
-56.0,3.0801757666322533,-56.310536044362294,4373.568378854911,-56.0,2298.0
-57.0,2.9458804035685517,-57.31608133086876,4148.589674946179,-57.0,2298.0000000000005
-58.0,2.8820755341139117,-58.32162661737524,3894.8832036334957,-58.0,2187.0000000000005
-59.0,2.8605182886660456,-59.327171903881705,3624.3233501738428,-59.0,2187.0
-60.0,2.8529657976226677,-60.33271719038817,3348.784499824192,-60.0,2187.0
-61.0,2.831175191381494,-61.33826247689464,3080.1410378415203,-61.0,1982.0000000000002
-62.0,2.7756617195290763,-62.34380776340112,2830.2673494828005,-62.0,1982.0000000000005
-63.0,2.7019731084073184,-63.349353049907585,2611.037820005012,-63.0,1884.0000000000002
-64.0,2.634415203546961,-64.35489833641405,2434.326834665128,-64.0,1884.0000000000002
-65.0,2.5972938504787493,-65.36044362292053,2312.0087787201237,-65.0,1884.0
-66.0,2.614914894733425,-66.36598890942699,2253.2575651335346,-66.0,2649.0000000000005
-67.0,2.699896938730646,-67.37153419593346,2250.7908674633372,-67.0,2649.0000000000005
-68.0,2.8181096124457374,-68.37707948243992,2291.127969772659,-68.0,2649.0000000000005
-69.0,2.923735302742942,-69.3826247689464,2360.776854215921,-69.0,2961.0
-70.0,2.9812476099336767,-70.38817005545287,2446.2455029475404,-70.0,2961.0000000000005
-71.0,2.996284988118058,-71.39371534195934,2534.867032717156,-71.0,2885.0000000000005
-72.0,2.984777104843382,-72.39926062846581,2620.285998418739,-72.0,2885.0000000000005
-73.0,2.9626536276569424,-73.40480591497227,2699.0613853032933,-73.0,2885.0
-74.0,2.9458442241060325,-74.41035120147875,2767.7678639109586,-74.0,2885.0
-75.0,2.950278561737948,-75.41589648798522,2822.980104781874,-75.0,2885.0
-76.0,2.9869293222250364,-76.42144177449168,2861.272778456176,-76.0,2885.0000000000005
-77.0,3.046941243739871,-77.42698706099816,2879.220555474006,-77.0,2885.0
-78.0,3.1165020785800768,-78.43253234750463,2873.3981063755,-78.0,2738.0
-79.0,3.1817995790432803,-79.4380776340111,2840.3801017008,-79.0,2738.0
-80.0,3.2290214974271074,-80.44362292051757,2776.7412119900405,-80.0,2738.0000000000005
-81.0,3.244355586029187,-81.44916820702403,2679.0561077833654,-81.0,2738.0000000000005
-82.0,3.218508006676199,-82.4547134935305,2543.8994596209077,-82.0,2738.0
-83.0,3.160258559311058,-83.46025878003698,2367.8459380428094,-83.0,2738.0000000000005
-84.0,3.0829054534057336,-84.46580406654344,2156.37129656898,-84.0,2462.0
-85.0,2.9997468984321936,-85.47134935304992,1955.041843758094,-85.0,2355.0
-86.0,2.9240811038624077,-86.47689463955638,1816.5208310470578,-86.0,2243.0000000000005
-87.0,2.8692062791683455,-87.48243992606285,1745.9499055413332,-87.0,2243.0
-88.0,2.8444837251742126,-88.48798521256933,1718.3389904316964,-88.0,2164.0
-89.0,2.843527108113155,-89.49353049907579,1708.254703012247,-89.0,2164.0
-90.0,2.8560131855705566,-90.49907578558226,1698.6122337157706,-90.0,2137.0
-91.0,2.8716187151318007,-91.50462107208872,1691.3519182856976,-91.0,2137.0
-92.0,2.8800204543822714,-92.5101663585952,1691.0512140326596,-92.0,2073.0000000000005
-93.0,2.8752803819807653,-93.51571164510167,1702.2875721943665,-93.0,2073.0
-94.0,2.869001360879728,-94.52125693160814,1727.9706922047562,-94.0,2140.0
-95.0,2.877171475105018,-95.52680221811461,1764.6446674372264,-95.0,2140.0
-96.0,2.9157788086824965,-96.53234750462107,1807.335075436893,-96.0,2037.0
-97.0,3.0008114456380213,-97.53789279112755,1851.067493748874,-97.0,2037.0000000000002
-98.0,3.14058024351011,-98.54343807763402,1890.8674999182879,-98.0,1993.0
-99.0,3.3126871538879143,-99.54898336414048,1921.7606714902515,-99.0,1993.0000000000002
-100.0,3.4870569018732436,-100.55452865064696,1939.7056404509751,-100.0,1858.0000000000002
-101.0,3.633614212567906,-101.56007393715343,1945.0078179084392,-101.0,1858.0
-102.0,3.7222838110737118,-102.5656192236599,1939.2374367439797,-102.0,1858.0000000000002
-103.0,3.72299042249247,-103.57116451016637,1923.9648722932216,-103.0,1858.0000000000002
-104.0,3.6182267802519066,-104.57670979667283,1900.7604998917898,-104.0,1723.0
-105.0,3.440757651083413,-105.5822550831793,1871.1946948753084,-105.0,1723.0
-106.0,3.2359158100442973,-106.58780036968578,1836.8378325794042,-106.0,1723.0
-107.0,3.04903403219187,-107.59334565619224,1799.2602883397008,-107.0,1723.0
-108.0,2.9146426924980844,-108.59889094269872,1760.0324374918243,-108.0,1686.0000000000005
-109.0,2.824062565593486,-109.60443622920518,1720.7246553713992,-109.0,1686.0000000000002
-110.0,2.7578120260232653,-110.60998151571165,1682.90731731405,-110.0,1686.0
-111.0,2.6964094483326115,-111.61552680221813,1648.150798655402,-111.0,1686.0000000000002
-112.0,2.6257499358476597,-112.62107208872459,1617.931332223432,-112.0,1673.0000000000002
-113.0,2.5532355070182997,-113.62661737523106,1592.4104391889684,-113.0,1673.0
-114.0,2.4916449090753723,-114.63216266173752,1570.7835643580358,-114.0,1673.0
-115.0,2.4537568892497097,-115.637707948244,1552.2238189777227,-115.0,1673.0
-116.0,2.4523501947721478,-116.64325323475047,1535.9043142951155,-116.0,1673.0
-117.0,2.4946447319966136,-117.64879852125694,1520.9981615573035,-117.0,1673.0
-118.0,2.5656250437693955,-118.65434380776341,1506.6784720113733,-118.0,1673.0000000000005
-119.0,2.6447168320598715,-119.65988909426989,1492.118356904414,-119.0,1632.0
-120.0,2.711345798837421,-120.66543438077635,1476.4909274835131,-120.0,1632.0000000000002
-121.0,2.7449376460714214,-121.67097966728282,1458.969294995757,-121.0,1632.0
-122.0,2.724918075731252,-122.67652495378928,1438.7265706882356,-122.0,1632.0
-123.0,2.6389218398039254,-123.68207024029576,1414.9358658080357,-123.0,1632.0
-124.0,2.5074198903469833,-124.68761552680223,1386.7702916022452,-124.0,1632.0
-125.0,2.3590922294356043,-125.6931608133087,1353.568038373744,-125.0,1536.0
-126.0,2.2226188591449643,-126.69870609981517,1316.436635744972,-126.0,1536.0000000000002
-127.0,2.1266797815502416,-127.70425138632163,1277.5578368565123,-127.0,1536.0
-128.0,2.0909001329996686,-128.7097966728281,1239.12850463402,-128.0,1497.0
-129.0,2.098685586933707,-129.71534195933458,1203.3455020031502,-129.0,1497.0
-130.0,2.1243869510658766,-130.72088724584106,1172.2660432318967,-130.0,1436.0000000000002
-131.0,2.1423550331096957,-131.7264325323475,1146.5877827713716,-131.0,1436.0
-132.0,2.1342987310269472,-132.73197781885398,1126.2421794288618,-132.0,1436.0000000000002
-133.0,2.111359303772477,-133.73752310536045,1111.1520938598806,-133.0,1436.0
-134.0,2.092036100549395,-134.74306839186693,1101.2403867199432,-134.0,1432.0000000000002
-135.0,2.094828470560811,-135.7486136783734,1096.4299186645628,-135.0,1432.0
-136.0,2.1382357630098343,-136.75415896487985,1096.601109541859,-136.0,1432.0000000000005
-137.0,2.2336499822737585,-137.75970425138632,1099.4024229261722,-137.0,1411.0000000000002
-138.0,2.364033753426606,-138.7652495378928,1099.1924382105253,-138.0,1411.0000000000002
-139.0,2.5052423567165825,-139.77079482439927,1090.0656734482345,-139.0,1356.0
-140.0,2.6331310723918917,-140.77634011090575,1066.6248174184846,-140.0,1356.0000000000005
-141.0,2.7235551807007403,-141.7818853974122,1031.947345954603,-141.0,1287.0000000000002
-142.0,2.7523699618913335,-142.78743068391867,996.1109710957604,-142.0,1287.0
-143.0,2.708975629282534,-143.79297597042515,969.4032833835936,-143.0,1251.0
-144.0,2.636952128475841,-144.79852125693162,962.111873359737,-144.0,1251.0
-145.0,2.593424338143411,-145.8040665434381,984.4109218942439,-145.0,1251.0
-146.0,2.6190534712755973,-146.80961182994454,1037.867335768495,-146.0,1500.0000000000002
-147.0,2.688646078135549,-147.81515711645102,1109.5518206441266,-147.0,1500.0
-148.0,2.7605450433046084,-148.8207024029575,1185.1426061571424,-148.0,1500.0
-149.0,2.793093251364121,-149.82624768946397,1250.317921943548,-149.0,1552.0000000000002
-150.0,2.756130128493786,-150.83179297597044,1290.7561391518464,-150.0,1552.0000000000002
-151.0,2.665481267266729,-151.83733826247692,1297.0505033978636,-151.0,1483.0000000000002
-152.0,2.5484688018544253,-152.84288354898337,1277.6766164291284,-152.0,1483.0
-153.0,2.432414866428354,-153.84842883548984,1245.1758869701873,-153.0,1483.0000000000002
-154.0,2.344641595159993,-154.85397412199632,1212.0897237455886,-154.0,1501.0
-155.0,2.3124711222208214,-155.8595194085028,1190.9462307584931,-155.0,1501.0000000000002
-156.0,2.3528709652782056,-156.86506469500927,1189.143323804628,-156.0,1505.0000000000005
-157.0,2.4413901759830763,-157.8706099815157,1201.212211630436,-157.0,1505.0000000000002
-158.0,2.543223189482254,-158.8761552680222,1219.6993058006992,-158.0,1381.0
-159.0,2.6235644409225567,-159.88170055452866,1237.1510178801975,-159.0,1381.0
-160.0,2.6476083654508056,-160.88724584103514,1246.1137594337122,-160.0,1387.0
-161.0,2.591262357362725,-161.8927911275416,1239.8687064506064,-161.0,1387.0000000000002
-162.0,2.473285647549659,-162.89833641404806,1219.5825891044346,-162.0,1298.0000000000002
-163.0,2.323150426051855,-163.90388170055454,1191.2144490379624,-163.0,1302.0000000000005
-164.0,2.1703288829095637,-164.909426987061,1160.7872393294708,-164.0,1303.0000000000002
-165.0,2.044293208163033,-165.91497227356749,1133.6183465465897,-165.0,1299.0000000000002
-166.0,1.9668295537617875,-166.92051756007396,1113.4869663429822,-166.0,1241.0000000000002
-167.0,1.9289799192924488,-167.9260628465804,1103.9389178180272,-167.0,1216.0
