model,time,name
texqe,541,541Ma
texqd,535,535Ma
texqc,530,530Ma
texqb,525,525Ma
texqa,520,520Ma
teXPz,515,515Ma
teXPy,510,510Ma
teXPx,505,505Ma
teXPw,499,499Ma
teXPv,496,496Ma
teXPu,492,492Ma
teXPt,485,485Ma
teXPs,482,482Ma
teXPr,475,475Ma
teXPq,470,470Ma
teXPp,465,465Ma
teXPo,460,460Ma
teXPn,456,456Ma
teXPm,449,449Ma
teXPl,445,445Ma
teXPk,441,441Ma
teXPj,436,436Ma
teXPi,430,430Ma
teXPh,425,425Ma
teXPg,421,421Ma
teXPf,415,415Ma
teXPe,410,410Ma
teXPd,405,405Ma
teXPc,400,400Ma
teXPb,395,395Ma
teXPa,391,391Ma
teXpz2,385,385Ma
teXpy2,380,380Ma
teXpx3,375,375Ma
teXpw,370,370Ma
teXpv,366,366Ma
teXpu,359,359Ma
teXpt,354,354Ma
teXps,349,349Ma
teXpr,344,344Ma
teXpq2,339,339Ma
teXpp2,333,333Ma
teXpo,331,331Ma
teXpn,327,327Ma
teXpm,319,319Ma
teXpl,315,315Ma
teXpk,311,311Ma
teXpj,305,305Ma
teXpi,301,301Ma
teXph,297,297Ma
teXpg,293,293Ma
teXpf2,287,287Ma
teXpe3,280,280Ma
teXpd3,275,275Ma
teXpc3,269,269Ma
teXpb3,265,265Ma
teXpa,263,263Ma
texPz,256,256Ma
texPy,252,252Ma
texPx,245,245Ma
texPw2,240,240Ma
texPv1,234,234Ma
texPu1,232,232Ma
texPt1,227,227Ma
texPs1,222,222Ma
texPr1,218,218Ma
texPq1,213,213Ma
texPp1,205,205Ma
texPo1,201,201Ma
texPn1,196,196Ma
texPm1,191,191Ma
texPl1,187,187Ma
texPk1,178,178Ma
texPj1,172,172Ma
texPi1,168,168Ma
texPh2,165,165Ma
texPg1,160,160Ma
texPf1,155,155Ma
texPe2,149,149Ma
texPd2,145,145Ma
texPc2,142,142Ma
texPb2,136,136Ma
texPa2,131,131Ma
texpz1,127,127Ma
texpy1,122,122Ma
texpx2,116,116Ma
texpw22,111,111Ma
texpv11,107,107Ma
texpu11,103,103Ma
texpt2,97,97Ma
texps2,92,92Ma
texpr2,87,87Ma
texpq,81,81Ma
texpp,75,75Ma
texpo11,69,69Ma
texpn11,66,66Ma
texpm11,61,61Ma
texpl11,56,56Ma
texpk2,52,52Ma
texpj2,45,45Ma
texpi11,40,40Ma
texph1,36,36Ma
texpg11,31,31Ma
texpf,26,26Ma
texpe,20,20Ma
texpd,15,15Ma
texpc,11,11Ma
texpb,3,3Ma
texpa1,0,0Ma
