age,packages,genera,genera_global,SIB_genera,Occurrences,Collections,del-18O,del-13C,87Sr-86Sr,del-34S,sea_level
498.9,313,192,343,170,1364,240,-7.4609,-0.094737,0.70911,32.638,58.382
494.65,314,141,312,121,684,170,-7.4609,-0.094737,0.70911,31.714,62.361
490.4,312,150,326,129,365,88,-9.554,-1.4277,0.7091,31.067,69.591
483.45,326,267,615,247,914,287,-9.554,-1.4277,0.70901,30.107,78.896
475.2,309,381,719,352,2287,571,-7.8388,-1.1365,0.7089,28.112,83.975
467.9,237,359,887,291,1643,371,-7.2945,-1.073,0.7087,26.658,81.732
462.45,286,329,888,203,728,96,-5.9429,-0.38571,0.70847,26.205,89.146
459.95,328,566,1244,470,2690,178,-5.2067,-0.68583,0.70815,24.846,96.302
456.25,349,626,1258,522,5037,283,-5.0705,-0.053035,0.70807,24.477,97.828
451.75,352,672,1255,543,5895,713,-5.1292,0.16855,0.7079,24.434,94.883
446.85,303,783,1361,702,7159,953,-3.9971,1.819,0.70793,24.984,78.449
441.35,238,425,1162,177,603,99,-4.2996,0.9575,0.70803,26.536,71.052
437.5,279,445,1171,197,1102,156,-4.2596,1.3272,0.70807,28.553,77.453
432.1,314,574,1236,382,2431,224,-5.2579,1.2845,0.70824,27.884,83.335
425.55,287,764,1273,646,6247,464,-4.6173,1.6999,0.7084,26.987,87.337
420.8,267,661,1227,457,1873,274,-4.8874,2.5645,0.70866,26.714,80.723
417.35,226,567,1142,314,1045,167,-5.5015,0.38914,0.70873,25.297,75.248
413.6,225,593,1169,372,2240,302,-5.8099,2.234,0.70871,24.131,69.69
409.1,211,473,1112,196,540,55,-5.3546,1.4511,0.7085,20.93,64.182
402.25,211,572,1168,339,1002,143,-5.9518,0.35291,0.70793,19.01,62.139
394.65,254,627,1166,441,2724,278,-3.9459,0.89763,0.70791,19.687,70.206
388.55,251,673,1191,533,7551,818,-5.1461,0.90967,0.70785,20.655,76.698
379.9,282,482,929,283,3713,499,-5.9852,0.82236,0.70811,22.031,76.681
366.85,293,427,897,240,1365,192,-5.6867,1.012,0.70825,21.423,61.209
353.6,277,577,1007,441,2576,353,-3.8525,2.8603,0.70817,19.902,55.22
344,301,605,1041,465,3208,356,-3.526,2.6783,0.70784,18.222,50.265
336.5,299,522,943,331,1720,291,-4.2249,3.0033,0.70778,15.848,39.432
325.55,238,581,1012,415,2841,399,-3.8082,2.4079,0.7079,14.609,28.89
314.9,255,614,1052,353,1565,237,-2.8206,4.5016,0.70827,14.8,16.417
309.85,246,601,1052,271,559,95,-2.567,4.6206,0.70829,13.678,32.252
307.25,236,715,1084,477,3669,500,-2.7266,4.9648,0.70827,13.294,36.487
305.75,185,579,1045,241,1493,261,-2.3151,3.5477,0.7083,12.724,38.93
302,172,610,1079,343,3844,592,-2.4478,3.7725,0.7082,12.581,42.879
289.5,192,792,1279,617,5611,1111,-3.354,3.8823,0.70753,12.768,31.67
275.3,216,852,1325,687,7794,932,-3.7717,4.0456,0.70708,13.168,33.257
265.5,186,749,1267,670,10636,1232,-3.4437,4.9767,0.70715,14.133,23.568
255.7,81,183,928,58,167,32,-3.8046,3.4807,0.70725,16.916,5.1837
248,123,356,708,266,2044,561,-5.9799,1.562,0.70784,19.698,7.138
241,84,220,637,79,448,218,-4.3096,0.83828,0.70788,21.091,16.105
232.5,100,218,649,81,166,44,-3.7535,0.77511,0.70771,20.74,21.469
222.25,133,331,750,219,1070,196,-2.5599,3.0593,0.70765,19.083,32.47
208.05,134,468,820,384,2366,376,-1.769,1.7026,0.70786,17.993,24.566
198.05,66,247,604,109,1172,178,-1.3805,1.1712,0.70776,17.911,9.1665
193.05,89,267,631,143,1732,241,0.17364,-0.95428,0.70752,17.544,10.37
186.3,82,282,664,164,1661,538,-0.83032,0.40167,0.70725,17.548,25.295
179.3,96,277,663,136,1236,485,-1.2017,1.6177,0.70723,17.668,28.499
173.6,94,231,622,56,168,43,-1.2017,1.6177,0.70729,17.689,27.48
169.65,129,258,648,125,664,75,-2.3876,1.1119,0.70718,17.42,35.315
166.2,134,246,670,101,540,95,-2.3876,1.1119,0.70711,17.124,34.591
162.95,147,250,683,92,424,53,-1.2442,0.72484,0.70688,16.615,36.109
158.45,164,224,713,49,106,38,-1.2196,1.8723,0.70686,16.154,41.897
153.25,113,226,705,54,126,53,-2.1456,1.6692,0.70689,15.993,49.376
148.15,131,241,717,97,513,54,-2.1456,1.6692,0.70708,16.315,47.251
142.85,122,189,730,20,68,29,-0.52317,-0.81397,0.70729,16.637,41.411
138.3,135,222,761,64,311,143,-0.52317,-0.81397,0.70734,16.986,39.056
133.2,135,204,782,37,135,53,-0.10244,0.079399,0.70742,17.144,39.69
127.5,132,205,809,31,79,30,0.07816,0.21614,0.70747,17.375,46.236
118.5,204,230,902,75,162,75,0.046936,3.3294,0.7073,16.236,42.606
105.8,276,490,1069,397,2486,549,-2.4674,2.0696,0.70742,15.898,49.331
96.55,273,506,1134,353,3226,557,-2.511,2.4004,0.70743,18.324,69.124
91.4,233,552,1145,341,1511,380,-2.1727,2.7866,0.70735,18.652,57.421
87.55,206,491,1106,187,663,181,-1.9906,2.1917,0.70735,18.31,54.907
84.65,221,515,1150,198,735,209,-1.5366,2.341,0.70745,17.993,58.566
77.05,217,779,1341,624,5804,780,-1.5091,2.3501,0.70762,18.589,64.706
68.05,181,785,1335,645,18588,950,-1.2032,2.4131,0.70778,18.852,55.655
63.6,123,561,1226,329,1852,246,-0.59825,1.8397,0.70785,18.626,61.918
58.75,146,595,1222,354,1946,211,-0.97357,2.9229,0.70777,17.898,66.59
52.2,160,634,1362,358,1920,135,-1.7186,2.6243,0.70775,19.512,67.538
44.5,158,681,1427,350,3213,198,-1.0291,2.8942,0.70777,22.295,62.852
38.8,142,895,1531,646,6065,289,-0.48389,2.5439,0.70775,22.271,56.328
35.55,112,888,1542,603,3792,337,-0.26606,1.7012,0.70778,22.069,60.744
31.15,97,792,1430,487,4305,264,-0.25161,0.753,0.70793,21.757,52.013
25.715,103,704,1431,333,1040,142,-0.42598,0.80968,0.70815,21.653,52.089
21.73,102,618,1669,65,105,34,-0.71986,1.7946,0.70831,21.785,50.509
18.2,116,649,1687,174,276,48,-0.71246,2.6142,0.70856,21.879,47.234
14.81,112,700,1715,218,661,120,-1.0742,2.5779,0.70878,21.974,43.455
12.629,114,732,1728,248,579,76,-0.81388,2.2423,0.70883,22.104,44.605
9.427,107,672,1669,144,520,97,-0.70298,2.4173,0.70892,22.067,45.902
6.289,92,670,1668,98,209,49,-0.91812,2.7235,0.70896,21.987,45.414
3.96,117,949,1572,780,4830,341,-1.1607,2.3932,0.70902,21.924,45.664
